 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234;Generation 235;Generation 236;Generation 237;Generation 238;Generation 239;Generation 240;Generation 241;Generation 242;Generation 243;Generation 244;Generation 245;Generation 246;Generation 247;Generation 248;Generation 249;Generation 250;Generation 251;Generation 252;Generation 253;Generation 254;Generation 255;Generation 256;Generation 257;Generation 258;Generation 259;Generation 260;Generation 261;Generation 262;Generation 263;Generation 264;Generation 265;Generation 266;Generation 267;Generation 268;Generation 269
Std(Low);494.403;447.154;437.746;438.711;432.344;432.03;432.889;431.166;424.76;424.76;424.798;424.798;424.798;424.798;423.368;423.368;423.368;420.218;420.218;420.218;420.218;420.218;420.218;420.218;420.218;420.218;419.616;419.616;419.616;419.616;419.616;419.616;419.616;419.292;419.292;419.292;419.28;419.28;419.28;419.28;419.28;418.834;418.834;418.834;418.834;418.834;418.834;418.834;418.834;418.834;418.834;418.834;418.834;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;417.027;415.169;415.169;415.179;415.179;413.6;413.6;413.6;413.6;413.37;413.511;413.511;413.511;412.474;412.474;412.474;412.474;412.474;412.268;412.268;412.268;412.268;412.268;412.268;412.268;412.268;412.268;412.268;412.268;404.024;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;401.987;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;393.023;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;392.374;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411;387.411
Mean;527.247;495.052;483.45;481.253;473.111;472.338;468.102;466.135;457.048;457.048;454.444;454.444;454.444;454.444;452.278;452.278;452.278;449.358;449.358;449.358;449.358;449.358;449.358;449.358;449.358;449.358;445.533;445.533;445.533;445.533;445.533;445.533;445.533;444.033;444.033;444.033;444.008;444.008;444.008;444.008;444.008;441.569;441.569;441.569;441.569;441.569;441.569;441.569;441.569;441.569;441.569;441.569;441.569;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;438.812;436.188;436.188;436.136;436.136;434.096;434.096;434.096;434.096;433.906;433.176;433.176;433.176;432.432;432.432;432.432;432.432;432.432;431.429;431.429;431.429;431.429;431.429;431.429;431.429;431.429;431.429;431.429;431.429;426.253;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;424.3;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;418.681;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;415.239;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854;411.854
Std(High);560.091;542.95;529.154;523.795;513.878;512.646;503.315;501.104;489.336;489.336;484.09;484.09;484.09;484.09;481.188;481.188;481.188;478.498;478.498;478.498;478.498;478.498;478.498;478.498;478.498;478.498;471.45;471.45;471.45;471.45;471.45;471.45;471.45;468.774;468.774;468.774;468.736;468.736;468.736;468.736;468.736;464.304;464.304;464.304;464.304;464.304;464.304;464.304;464.304;464.304;464.304;464.304;464.304;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;460.597;457.207;457.207;457.093;457.093;454.592;454.592;454.592;454.592;454.442;452.841;452.841;452.841;452.39;452.39;452.39;452.39;452.39;450.59;450.59;450.59;450.59;450.59;450.59;450.59;450.59;450.59;450.59;450.59;448.482;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;446.613;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;444.339;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;438.104;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297;436.297
