 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203
Std(Low);126.79;124.07;124.07;121.951;122.556;122.769;122.769;122.969;122.969;123.1;123.248;123.248;123.248;123.248;123.037;122.72;122.72;122.72;122.962;122.962;122.962;122.962;122.962;122.962;122.962;122.944;122.944;122.944;122.944;122.944;123.031;123.031;123.031;123.031;123.031;123.031;123.031;123.031;123.031;123.031;122.995;122.951;122.951;122.951;122.951;122.951;122.951;122.951;122.951;122.641;122.641;122.641;122.641;122.641;122.641;122.641;122.641;122.641;122.641;122.641;122.641;121.887;121.887;121.887;121.887;121.887;121.887;121.887;121.887;121.887;121.573;121.573;121.573;121.573;121.573;121.025;121.025;121.025;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.962;120.84;120.84;120.84;120.84;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.765;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.748;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567;120.567
Mean;136.451;132.906;132.906;128.983;127.734;126.631;126.631;126.373;126.373;126.175;125.674;125.674;125.674;125.674;125.294;124.991;124.991;124.991;124.24;124.24;124.24;124.24;124.24;124.24;124.24;124.22;124.22;124.22;124.22;124.22;124.116;124.116;124.116;124.116;124.116;124.116;124.116;124.116;124.116;124.116;123.923;123.895;123.895;123.895;123.895;123.895;123.895;123.895;123.895;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.788;123.23;123.23;123.23;123.23;123.23;123.23;123.23;123.23;123.23;122.986;122.986;122.986;122.986;122.986;122.62;122.62;122.62;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.458;122.309;122.309;122.309;122.309;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.178;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.167;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07;122.07
Std(High);146.112;141.742;141.742;136.015;132.912;130.493;130.493;129.777;129.777;129.25;128.1;128.1;128.1;128.1;127.551;127.262;127.262;127.262;125.518;125.518;125.518;125.518;125.518;125.518;125.518;125.496;125.496;125.496;125.496;125.496;125.201;125.201;125.201;125.201;125.201;125.201;125.201;125.201;125.201;125.201;124.851;124.839;124.839;124.839;124.839;124.839;124.839;124.839;124.839;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.935;124.573;124.573;124.573;124.573;124.573;124.573;124.573;124.573;124.573;124.399;124.399;124.399;124.399;124.399;124.215;124.215;124.215;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.954;123.778;123.778;123.778;123.778;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.591;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.586;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573;123.573
