 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234;Generation 235;Generation 236;Generation 237;Generation 238;Generation 239;Generation 240;Generation 241;Generation 242;Generation 243;Generation 244;Generation 245;Generation 246;Generation 247;Generation 248;Generation 249;Generation 250;Generation 251;Generation 252;Generation 253;Generation 254;Generation 255;Generation 256;Generation 257;Generation 258;Generation 259;Generation 260;Generation 261;Generation 262;Generation 263;Generation 264;Generation 265;Generation 266;Generation 267;Generation 268;Generation 269;Generation 270;Generation 271;Generation 272;Generation 273;Generation 274;Generation 275;Generation 276;Generation 277;Generation 278;Generation 279;Generation 280;Generation 281;Generation 282;Generation 283;Generation 284;Generation 285;Generation 286;Generation 287;Generation 288;Generation 289;Generation 290;Generation 291;Generation 292;Generation 293;Generation 294;Generation 295;Generation 296;Generation 297;Generation 298;Generation 299;Generation 300;Generation 301;Generation 302;Generation 303;Generation 304;Generation 305;Generation 306;Generation 307;Generation 308;Generation 309;Generation 310;Generation 311;Generation 312;Generation 313;Generation 314;Generation 315;Generation 316;Generation 317;Generation 318;Generation 319;Generation 320;Generation 321;Generation 322;Generation 323
Std(Low);465.012;462.097;461.171;459.094;442.115;442.421;442.377;441.955;441.062;441.196;439.289;439.249;439.395;439.395;436.153;433.328;433.328;433.328;433.328;433.151;433.154;433.154;432.792;432.792;432.792;432.792;432.792;432.792;432.792;432.792;432.792;431.914;431.914;429.361;429.361;428.415;428.415;428.415;430.049;430.049;423.428;423.428;423.428;423.428;423.428;423.428;423.428;423.428;423.428;411.613;411.613;411.613;411.613;412.126;412.126;412.126;412.126;409.064;409.064;409.064;409.064;409.064;409.064;409.064;409.064;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;409.55;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;406.574;405.94;405.94;405.94;405.94;405.94;405.94;405.94;405.94;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.937;405.638;405.638;405.638;405.638;405.638;405.638;405.638;405.638;405.638;405.638;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;403.536;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078;401.078
Mean;526.951;519.454;517.811;514.527;499.629;496.632;495.17;492.711;490.635;490.031;486.268;483.055;482.726;482.726;474.574;467.837;467.837;467.837;467.837;465.379;463.209;463.209;462.872;462.872;462.872;462.872;462.872;462.872;462.872;462.872;462.872;461.14;461.14;459.272;459.272;456.638;456.638;456.638;455.036;455.036;452.419;452.419;452.419;452.419;452.419;452.419;452.419;452.419;452.419;446.211;446.211;446.211;446.211;445.18;445.18;445.18;445.18;435.728;435.728;435.728;435.728;435.728;435.728;435.728;435.728;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;433.606;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;429.381;428.486;428.486;428.486;428.486;428.486;428.486;428.486;428.486;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;427.419;426.602;426.602;426.602;426.602;426.602;426.602;426.602;426.602;426.602;426.602;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;424.476;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057;423.057
Std(High);588.89;576.811;574.451;569.96;557.143;550.843;547.963;543.467;540.208;538.866;533.247;526.861;526.057;526.057;512.995;502.346;502.346;502.346;502.346;497.607;493.264;493.264;492.952;492.952;492.952;492.952;492.952;492.952;492.952;492.952;492.952;490.366;490.366;489.183;489.183;484.861;484.861;484.861;480.023;480.023;481.41;481.41;481.41;481.41;481.41;481.41;481.41;481.41;481.41;480.809;480.809;480.809;480.809;478.234;478.234;478.234;478.234;462.392;462.392;462.392;462.392;462.392;462.392;462.392;462.392;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;457.662;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;452.188;451.032;451.032;451.032;451.032;451.032;451.032;451.032;451.032;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;448.901;447.566;447.566;447.566;447.566;447.566;447.566;447.566;447.566;447.566;447.566;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.416;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036;445.036
