 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234
Std(Low);2.592;2.644;2.781;1.424;1.424;1.791;1.917;1.844;1.844;1.811;1.671;1.671;1.674;1.468;1.378;1.378;1.378;1.376;1.376;1.262;1.259;1.002;0.921;1.09;1.09;1.09;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.901;0.843;0.843;0.843;0.927;0.927;0.927;0.927;0.927;0.927;0.927;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.894;0.917;0.917;0.943;0.943;0.943;0.943;0.943;0.943;0.943;0.943;0.943;0.937;0.937;0.937;0.937;0.937;0.937;0.937;0.937;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.908;0.681;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.676;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613;0.613
Mean;9.605;6.387;6.13;5.045;5.045;4.717;3.49;3.126;3.126;3.106;3.007;3.007;2.966;2.865;2.803;2.803;2.803;2.793;2.793;2.726;2.713;2.462;2.402;2.034;2.034;2.034;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.803;1.753;1.753;1.753;1.406;1.406;1.406;1.406;1.406;1.406;1.406;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.369;1.339;1.339;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.288;1.281;1.281;1.281;1.281;1.281;1.281;1.281;1.281;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.171;1.029;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;1.025;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967;0.967
Std(High);16.618;10.13;9.479;8.666;8.666;7.643;5.063;4.408;4.408;4.401;4.343;4.343;4.258;4.262;4.228;4.228;4.228;4.21;4.21;4.19;4.167;3.922;3.883;2.978;2.978;2.978;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.705;2.663;2.663;2.663;1.885;1.885;1.885;1.885;1.885;1.885;1.885;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.844;1.761;1.761;1.633;1.633;1.633;1.633;1.633;1.633;1.633;1.633;1.633;1.625;1.625;1.625;1.625;1.625;1.625;1.625;1.625;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.434;1.377;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.374;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321;1.321
