 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159
Std(Low);170.428;152.562;144.202;144.521;144.146;143.776;139.923;135.235;133.255;128.545;127.3;127.3;127.74;127.74;127.117;127.117;127.117;127.031;127.238;126.07;126.07;126.07;126.07;126.07;125.044;124.349;124.349;124.349;124.349;124.349;124.349;124.349;124.349;123.989;123.989;123.989;123.989;123.301;123.301;123.301;123.301;123.301;123.417;122.952;122.952;122.952;122.952;122.952;122.952;122.952;124.21;124.21;124.21;124.21;124.21;124.21;124.21;124.21;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.138;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.062;124.075;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.087;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009;124.009
Mean;192.459;176.669;169.521;168.958;159.183;158.958;152.82;149.326;147.429;144.114;143.081;143.081;134.684;134.684;134.184;134.184;134.184;133.828;132.556;131.91;131.91;131.91;131.91;131.91;130.695;130.315;130.315;130.315;130.315;130.315;130.315;130.315;130.315;129.841;129.841;129.841;129.841;129.173;129.173;129.173;129.173;129.173;128.429;128.154;128.154;128.154;128.154;128.154;128.154;128.154;126.962;126.962;126.962;126.962;126.962;126.962;126.962;126.962;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.74;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.65;126.611;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.526;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454;126.454
Std(High);214.49;200.776;194.84;193.395;174.22;174.14;165.717;163.417;161.603;159.683;158.862;158.862;141.628;141.628;141.251;141.251;141.251;140.625;137.874;137.75;137.75;137.75;137.75;137.75;136.346;136.281;136.281;136.281;136.281;136.281;136.281;136.281;136.281;135.693;135.693;135.693;135.693;135.045;135.045;135.045;135.045;135.045;133.441;133.356;133.356;133.356;133.356;133.356;133.356;133.356;129.714;129.714;129.714;129.714;129.714;129.714;129.714;129.714;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.342;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.238;129.147;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.965;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899;128.899
