 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175
Std(Low);132.344;129.726;127.745;126.395;126.395;125.447;126.243;125.288;125.288;125.113;125.113;124.984;124.984;124.956;124.956;125.03;125.03;125.03;124.77;124.77;123.996;123.996;123.084;123.084;123.084;122.422;122.331;122.092;122.092;121.758;121.758;121.758;121.758;121.644;121.644;121.644;121.644;122.042;121.819;121.819;121.819;121.535;121.535;121.535;121.672;121.672;121.672;121.672;121.672;121.672;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.587;121.63;121.63;121.63;121.63;121.63;121.078;121.078;121.078;121.078;121.078;121.078;121.078;121.078;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.168;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167;121.167
Mean;140.834;136.952;134.145;133.186;133.186;131.61;130.56;129.738;129.738;129.46;129.46;129.354;129.354;129.281;129.281;129.151;129.151;129.151;129.017;129.017;128.463;128.463;126.988;126.988;126.988;126.654;126.286;126.032;126.032;125.845;125.845;125.845;125.845;125.756;125.756;125.756;125.756;125.219;125.063;125.063;125.063;124.789;124.789;124.789;124.652;124.652;124.652;124.652;124.652;124.652;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.93;123.894;123.894;123.894;123.894;123.894;123.537;123.537;123.537;123.537;123.537;123.537;123.537;123.537;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.452;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45;123.45
Std(High);149.324;144.178;140.545;139.977;139.977;137.773;134.877;134.188;134.188;133.807;133.807;133.724;133.724;133.606;133.606;133.272;133.272;133.272;133.264;133.264;132.93;132.93;130.892;130.892;130.892;130.886;130.241;129.972;129.972;129.932;129.932;129.932;129.932;129.868;129.868;129.868;129.868;128.396;128.307;128.307;128.307;128.043;128.043;128.043;127.632;127.632;127.632;127.632;127.632;127.632;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.273;126.158;126.158;126.158;126.158;126.158;125.996;125.996;125.996;125.996;125.996;125.996;125.996;125.996;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.736;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733;125.733
