 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196
Std(Low);190761.523;191300.299;177953.091;177953.091;177953.091;177632.31;177632.31;177106.555;177106.555;177106.555;177106.555;177106.555;177106.555;177106.555;177106.555;177106.555;177106.555;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177185.293;177099.565;177099.565;177099.565;177099.565;177068.072;177068.072;177068.072;177068.072;177068.072;176844.632;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176764.452;176775.287;176775.287;176775.287;176775.287;176775.287;176775.287;176775.287;176775.287;175911.164;175911.164;175911.164;176056.834;176056.834;167487.498;167487.498;167487.498;167487.498;167487.498;167487.498;167487.498;167487.498;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160457.008;160398.488;160398.488;160398.488;160398.488;160398.488;160408.69;160408.69;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160406.055;160409.141;160409.141;160409.141;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794;160250.794
Mean;198578.38;197420.718;187347.389;187347.389;187347.389;184002.359;184002.359;182839.089;182839.089;182839.089;182839.089;182839.089;182839.089;182839.089;182839.089;182839.089;182839.089;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;182310.902;181704.742;181704.742;181704.742;181704.742;181648.696;181648.696;181648.696;181648.696;181648.696;180396.889;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180090.536;180061.039;180061.039;180061.039;180061.039;180061.039;180061.039;180061.039;180061.039;179156.341;179156.341;179156.341;178913.367;178913.367;175705.694;175705.694;175705.694;175705.694;175705.694;175705.694;175705.694;175705.694;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171686.416;171385.767;171385.767;171385.767;171385.767;171385.767;171227.228;171227.228;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171215.024;171120.083;171120.083;171120.083;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895;170778.895
Std(High);206395.237;203541.137;196741.687;196741.687;196741.687;190372.408;190372.408;188571.623;188571.623;188571.623;188571.623;188571.623;188571.623;188571.623;188571.623;188571.623;188571.623;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;187436.511;186309.919;186309.919;186309.919;186309.919;186229.32;186229.32;186229.32;186229.32;186229.32;183949.146;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183416.62;183346.791;183346.791;183346.791;183346.791;183346.791;183346.791;183346.791;183346.791;182401.518;182401.518;182401.518;181769.9;181769.9;183923.89;183923.89;183923.89;183923.89;183923.89;183923.89;183923.89;183923.89;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182915.824;182373.046;182373.046;182373.046;182373.046;182373.046;182045.766;182045.766;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;182023.993;181831.025;181831.025;181831.025;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996;181306.996
