 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234;Generation 235;Generation 236;Generation 237;Generation 238;Generation 239;Generation 240;Generation 241;Generation 242;Generation 243;Generation 244;Generation 245;Generation 246;Generation 247;Generation 248;Generation 249;Generation 250;Generation 251;Generation 252;Generation 253;Generation 254;Generation 255;Generation 256;Generation 257;Generation 258;Generation 259;Generation 260;Generation 261;Generation 262;Generation 263;Generation 264;Generation 265;Generation 266;Generation 267;Generation 268;Generation 269;Generation 270;Generation 271;Generation 272;Generation 273;Generation 274;Generation 275;Generation 276;Generation 277;Generation 278;Generation 279;Generation 280;Generation 281;Generation 282;Generation 283;Generation 284;Generation 285;Generation 286;Generation 287;Generation 288;Generation 289;Generation 290;Generation 291;Generation 292;Generation 293;Generation 294;Generation 295;Generation 296;Generation 297;Generation 298;Generation 299;Generation 300;Generation 301;Generation 302;Generation 303;Generation 304;Generation 305;Generation 306;Generation 307;Generation 308;Generation 309;Generation 310;Generation 311;Generation 312;Generation 313;Generation 314;Generation 315;Generation 316;Generation 317;Generation 318;Generation 319;Generation 320;Generation 321;Generation 322
Std(Low);6.509;5.971;3.025;2.841;2.622;2.664;1.857;1.857;1.582;1.582;1.749;1.897;1.897;2.091;2.091;2.098;1.4;1.25;1.25;1.25;1.247;1.247;1.245;0.972;0.817;0.817;0.817;0.717;0.717;0.717;0.717;0.537;0.537;0.537;0.537;0.596;0.596;0.596;0.543;0.459;0.427;0.427;0.427;0.426;0.426;0.426;0.426;0.426;0.412;0.412;0.412;0.412;0.317;0.317;0.317;0.322;0.322;0.435;0.435;0.435;0.435;0.436;0.436;0.436;0.436;0.369;0.369;0.406;0.406;0.406;0.406;0.406;0.406;0.406;0.406;0.406;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.391;0.391;0.391;0.391;0.391;0.388;0.388;0.388;0.388;0.388;0.388;0.388;0.388;0.388;0.388;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.381;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27;0.27
Mean;13.209;12.196;8.322;7.867;6.38;6.279;5.523;5.523;5.361;5.361;4.376;4.073;4.073;3.881;3.881;3.863;3.438;3.301;3.301;3.301;3.111;3.111;3.107;2.811;2.607;2.607;2.607;2.54;2.54;2.54;2.54;2.407;2.407;2.407;2.407;2.352;2.352;2.352;2.284;1.678;1.65;1.65;1.65;1.649;1.649;1.649;1.649;1.649;1.639;1.639;1.639;1.639;1.582;1.582;1.582;1.537;1.537;1.348;1.348;1.348;1.348;1.325;1.325;1.325;1.325;1.21;1.21;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;1.005;0.997;0.997;0.997;0.997;0.997;0.973;0.973;0.973;0.973;0.973;0.973;0.973;0.973;0.973;0.973;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.956;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866;0.866
Std(High);19.909;18.421;13.619;12.893;10.138;9.894;9.189;9.189;9.14;9.14;7.003;6.249;6.249;5.671;5.671;5.628;5.476;5.352;5.352;5.352;4.975;4.975;4.969;4.65;4.397;4.397;4.397;4.363;4.363;4.363;4.363;4.277;4.277;4.277;4.277;4.108;4.108;4.108;4.025;2.897;2.873;2.873;2.873;2.872;2.872;2.872;2.872;2.872;2.866;2.866;2.866;2.866;2.847;2.847;2.847;2.752;2.752;2.261;2.261;2.261;2.261;2.214;2.214;2.214;2.214;2.051;2.051;1.812;1.812;1.812;1.812;1.812;1.812;1.812;1.812;1.812;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.62;1.603;1.603;1.603;1.603;1.603;1.558;1.558;1.558;1.558;1.558;1.558;1.558;1.558;1.558;1.558;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.531;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462;1.462
