 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181
Std(Low);44.307;33.792;26.433;18.179;18.293;13.957;13.918;12.387;12.352;12.352;12.352;12.352;12.352;12.352;12.352;12.352;12.352;12.974;12.352;12.352;11.472;11.394;11.472;11.472;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.55;11.61;12.039;11.478;12.112;11.478;6.382;6.382;6.382;6.382;6.382;6.566;6.382;6.382;6.382;6.19;6.19;4.757;4.757;4.757;4.757;4.757;6.19;6.19;6.19;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867;4.867
Mean;52.354;46.14;38.893;30.296;26.712;24.661;24.636;21.984;21.959;21.959;21.959;21.959;21.959;21.959;21.959;21.959;21.959;22.491;21.959;21.959;21.427;21.487;21.427;21.427;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.368;21.49;22.616;21.246;22.962;21.246;18.161;18.161;18.161;18.161;18.161;18.267;18.161;18.161;18.161;18.055;18.055;20.141;20.141;20.141;20.141;20.141;18.055;18.055;18.055;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968;15.968
Std(High);60.401;58.488;51.353;42.413;35.131;35.365;35.354;31.581;31.566;31.566;31.566;31.566;31.566;31.566;31.566;31.566;31.566;32.008;31.566;31.566;31.382;31.58;31.382;31.382;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.186;31.37;33.193;31.014;33.812;31.014;29.94;29.94;29.94;29.94;29.94;29.968;29.94;29.94;29.94;29.92;29.92;35.525;35.525;35.525;35.525;35.525;29.92;29.92;29.92;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069;27.069
