Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
481.935;549.267;548.269;512.104;472.543;487.407;491.569;529.087;541.166;522.393
481.935;540.921;527.361;512.104;472.543;487.407;491.569;529.087;467.27;507.282
481.935;540.921;527.361;492.774;472.543;487.407;491.569;529.087;467.27;507.282
443.295;540.921;527.361;492.774;460.466;487.407;491.569;475.424;435.576;507.282
443.295;512.619;527.361;474.054;460.466;487.407;491.569;475.424;435.576;507.282
443.295;512.619;503.282;474.054;460.466;487.407;491.569;475.424;435.576;507.282
443.295;512.619;503.282;474.054;460.466;487.407;491.569;475.424;435.576;507.282
443.295;512.619;503.282;474.054;460.466;487.407;491.569;475.424;435.576;507.282
443.295;445.77;462.443;474.054;460.466;487.407;491.569;475.424;435.576;507.282
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;507.282
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;507.282
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;489.774
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;489.774
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;489.774
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;489.774
443.295;445.77;462.443;437.406;460.466;487.407;491.569;475.424;435.576;489.774
443.295;445.77;462.443;437.406;460.466;487.407;428.478;475.424;435.576;480.634
443.295;445.77;462.443;437.406;460.466;487.407;428.478;417.514;435.576;480.634
443.295;445.77;462.443;437.406;460.466;487.407;428.478;417.514;435.576;480.634
443.295;445.77;462.443;437.406;460.466;487.407;428.478;417.514;435.576;469.935
443.295;445.77;462.443;437.406;460.466;487.407;428.478;417.514;435.576;469.935
443.295;402.789;462.443;437.406;460.466;487.407;428.478;417.514;435.576;469.935
443.295;402.789;462.443;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;462.443;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;430.035;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;430.035;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;430.035;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;428.478;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;437.406;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
443.295;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;469.935
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
432.32;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;446.728
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
415.324;402.789;395.972;411.858;460.466;416.685;406.112;417.514;435.576;445.54
