 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216
Std(Low);601.901;567.361;546.532;551.721;548.24;545.545;545.603;545.603;545.603;536.858;536.858;536.827;521.481;519.268;519.268;519.743;516.65;516.65;516.65;516.65;516.65;498.944;498.649;498.649;494.79;494.79;494.79;494.79;495.262;495.262;495.268;494.055;493.525;486.088;483.296;483.531;482.316;483.635;484.07;485.275;485.275;485.275;485.275;485.275;475.347;475.347;475.347;475.347;475.347;475.347;474.34;474.34;474.34;474.34;474.34;472.842;472.842;472.842;472.842;472.842;472.842;472.842;473.627;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.176;472.252;472.252;472.252;472.252;472.252;472.252;472.252;472.252;472.252;472.252;468.885;468.885;468.885;468.885;468.885;468.885;468.885;468.885;468.885;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;465.654;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.512;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221;463.221
Mean;648.876;626.688;604.324;594.103;588.24;584.49;583.386;583.386;583.386;577.67;577.67;577.06;566.89;562.035;562.035;559.843;547.268;547.268;547.268;547.268;547.268;539.572;539.322;539.322;533.758;533.758;533.758;533.758;531.854;531.854;531.655;530.842;529.068;524.241;520.831;520.126;515.542;512.247;511.776;507.196;507.196;507.196;507.196;507.196;501.017;501.017;501.017;501.017;501.017;501.017;499.874;499.874;499.874;499.874;499.874;498.067;498.067;498.067;498.067;498.067;498.067;498.067;496.356;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;495.127;494.672;494.672;494.672;494.672;494.672;494.672;494.672;494.672;494.672;494.672;491.286;491.286;491.286;491.286;491.286;491.286;491.286;491.286;491.286;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;488.88;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.803;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548;487.548
Std(High);695.851;686.015;662.116;636.485;628.24;623.435;621.169;621.169;621.169;618.482;618.482;617.293;612.299;604.802;604.802;599.943;577.886;577.886;577.886;577.886;577.886;580.2;579.995;579.995;572.726;572.726;572.726;572.726;568.446;568.446;568.042;567.629;564.611;562.394;558.366;556.721;548.768;540.859;539.482;529.117;529.117;529.117;529.117;529.117;526.687;526.687;526.687;526.687;526.687;526.687;525.408;525.408;525.408;525.408;525.408;523.292;523.292;523.292;523.292;523.292;523.292;523.292;519.085;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;518.078;517.092;517.092;517.092;517.092;517.092;517.092;517.092;517.092;517.092;517.092;513.687;513.687;513.687;513.687;513.687;513.687;513.687;513.687;513.687;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.106;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;512.094;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875;511.875
