Round 1;Round 2;Round 3;Round 4;Round 5
502.436;542.82;515.673;477.205;475.98
502.435;477.453;515.673;457.882;475.98
436.481;477.453;515.673;457.882;475.98
436.481;477.453;515.673;457.882;475.98
436.481;477.453;515.673;457.882;475.98
436.481;477.453;515.673;457.882;475.98
436.481;477.453;471.909;457.882;475.98
436.481;477.453;471.909;457.882;475.98
436.481;477.453;471.909;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;477.453;461.604;457.882;475.98
436.481;468.564;461.604;457.882;475.98
436.481;468.564;461.604;457.882;475.98
436.481;468.564;461.604;457.882;475.98
436.481;468.564;461.604;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;457.882;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;475.98
436.481;468.564;429.633;427.466;455.355
436.481;468.564;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;455.355
436.481;464.455;429.633;427.466;439.901
436.481;464.455;429.633;427.466;439.901
436.481;464.455;429.633;427.466;439.901
436.481;464.455;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;429.633;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;450.41;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;416.414;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
436.481;448.673;365.172;427.466;439.901
