 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234;Generation 235;Generation 236;Generation 237;Generation 238
Std(Low);156.951;149.178;142.433;142.433;140.006;140.006;140.006;139.379;137.292;133.307;127.951;127.383;127.383;127.114;127.114;125.614;125.422;124.59;124.59;124.59;124.59;124.59;125.035;125.035;124.943;124.943;124.943;127.14;127.14;127.14;127.14;127.14;127.14;126.833;126.833;126.728;126.728;126.728;126.728;126.728;126.728;126.728;126.728;126.337;126.337;125.873;125.873;125.873;125.685;125.685;125.13;124.977;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.735;124.69;124.69;124.69;124.69;124.69;124.69;124.69;124.69;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.717;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.693;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;125.506;124.68;124.68;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53;124.53
Mean;185.136;165.159;158.104;158.091;155.83;155.83;155.83;151.666;150.335;146.701;143.541;143.205;143.205;140.326;140.326;138.629;138.501;137.902;137.902;137.902;137.902;137.902;136.367;136.367;134.521;134.521;134.521;132.962;132.962;132.962;132.962;132.962;132.962;132.774;132.774;132.59;132.59;132.59;132.59;132.59;132.59;132.59;132.59;131.485;131.485;130.832;130.832;130.832;130.628;130.628;129.975;129.696;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.463;129.428;129.428;129.428;129.428;129.428;129.428;129.428;129.428;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;128.109;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.819;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.636;127.183;127.183;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073;127.073
Std(High);213.321;181.14;173.775;173.749;171.654;171.654;171.654;163.953;163.378;160.095;159.131;159.027;159.027;153.538;153.538;151.644;151.58;151.214;151.214;151.214;151.214;151.214;147.699;147.699;144.099;144.099;144.099;138.784;138.784;138.784;138.784;138.784;138.784;138.715;138.715;138.452;138.452;138.452;138.452;138.452;138.452;138.452;138.452;136.633;136.633;135.791;135.791;135.791;135.571;135.571;134.82;134.415;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.191;134.166;134.166;134.166;134.166;134.166;134.166;134.166;134.166;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;130.501;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.945;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.766;129.686;129.686;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616;129.616
