 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120
Std(Low);841.53;750.409;732.808;657.753;635.297;571.766;571.287;539.746;511.703;500.81;489.514;482.767;474.241;460.646;457.326;450.481;447.12;444.743;444.743;442.533;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95;441.95
Mean;868.198;806.276;767.46;696.13;674.69;627.456;602.963;581.833;558.013;544.331;535.108;523.663;514.098;502.881;499.153;491.57;487.982;485.978;485.978;483.864;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423;483.423
Std(High);894.866;862.143;802.112;734.507;714.083;683.146;634.639;623.92;604.323;587.852;580.702;564.559;553.955;545.116;540.98;532.659;528.844;527.213;527.213;525.195;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896
Std(High);894.866;862.143;802.112;734.507;714.083;683.146;634.639;623.92;604.323;587.852;580.702;564.559;553.955;545.116;540.98;532.659;528.844;527.213;527.213;525.195;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896;524.896
