 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101
Std(Low);2509.856;2508.348;2507.313;2506.379;2504.941;2504.297;2503.556;2502.959;2502.453;2501.8;2501.619;2501.537;2501.158;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114;2501.114
Mean;2510.337;2508.985;2507.613;2506.94;2505.536;2504.586;2503.899;2503.207;2502.756;2502.24;2502.023;2501.869;2501.624;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556;2501.556
Std(High);2510.818;2509.622;2507.913;2507.501;2506.131;2504.875;2504.242;2503.455;2503.059;2502.68;2502.427;2502.201;2502.09;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998;2501.998
