Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
922.629;1044.884;910.763;941.694;915.912;929.196;969.795;986.675;946.091;964.578
1013.648;1002.445;915.69;876.601;935.012;834.174;1004.337;953.993;1038.899;875.056
836.527;865.736;883.126;916.664;844.737;835.153;911.509;920.147;872.273;824.576
811.999;871.626;764.023;790.773;898.389;796.746;787.225;796.024;766.787;754.035
711.728;723.055;779.681;693.416;799.165;700.293;721.731;729.328;731.533;731.192
659.121;673.816;662.827;652.59;716.39;585.1;731.099;648.406;645.115;703.992
623.763;683.627;618.76;600.046;641.677;536.445;624.422;622.637;613.259;672.681
597.495;629.965;584.636;591.068;619.728;517.446;582.546;600.334;569.411;559.272
579.036;590.017;551.694;567.801;582.905;498.089;565.985;563.611;534.535;486.435
545.513;584.254;529.611;527.519;548.172;474.159;541.157;469.19;530.33;437.464
523.028;559.902;513.197;527.519;523.288;449.956;525.081;413.154;515.837;433.013
483.496;540.719;513.197;523.472;517.343;431.872;506.158;413.154;512.735;432.86
442.376;536.017;502.61;504.715;507.788;431.872;483.121;368.458;497.401;432.86
442.376;536.017;499.661;504.715;457.914;408.052;483.121;350.927;497.401;417.168
442.376;535.493;499.661;502.241;457.914;408.052;476.489;350.927;476.881;417.168
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
442.376;535.493;495.852;502.241;457.914;408.052;476.489;350.927;476.881;368.128
