Round 1;Round 2;Round 3;Round 4;Round 5;Round 6;Round 7;Round 8;Round 9;Round 10
931.294;989.6;918.749;959.315;1102.023;931.236;963.1;931.613;910.638;1007.611
885.517;881.044;903.593;837.162;987.626;835.131;837.555;930.887;898.015;880.994
801.538;796.195;837.565;822.364;804.776;789.866;831.991;786.403;806.482;827.236
749.395;744.03;763.574;736.194;721.26;726.197;731.301;748.814;776.198;762.02
712.344;662.277;678.825;679.845;732.87;666.354;686.831;693.871;710.951;688.375
620.377;651.343;631.159;608.842;657.021;650.251;628.464;658.692;662.758;666.403
576.08;576.225;580.903;582.119;625.339;623.79;609.429;600.996;637.726;612.333
555.715;562.28;544.72;559.414;587.663;554.588;584.937;573.388;587.682;587.06
538.912;530.273;503.585;522.408;528.359;541.305;556.472;530.502;569.136;562.317
499.073;529.329;477.703;512.847;515.605;515.038;529.884;497.765;553.853;552.917
489.426;467.829;429.626;473.109;422.849;488.145;525.34;492.341;523.339;542.401
474.48;449.927;406.878;473.109;415.527;488.145;471.094;394.013;523.339;483.661
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;520.773;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
444.524;449.927;396.944;410.4;381.093;438.517;443.612;377.341;506.632;458.101
